1,F.C.A. NON SUPPORT
2,F.C.A. ORDER OF PROTECTION
12,NYC UNCLASSIFIED WARRANT
15,FUGITIVE/OTHER JURISDICTION NYS
16,FUGITIVE/OTHER STATES
29,NYS PAROLE VIOLATION
30,NYS PROBATION
35,NYS UNCLASSIFIED
49,U.S. CODE UNCLASSIFIED
100,STALKING COMMIT SEX OFFENSE
101,ASSAULT 3
104,VEHICULAR ASSAULT (INTOX DRIVE
105,STRANGULATION 1ST
106,ASSAULT POLICE/PEACE OFFICER
107,END WELFARE VULNERABLE ELDERLY PERSON
109,"ASSAULT 2, 1, UNCLASSIFIED"
112,MENACING 1ST DEGREE (VICT NOT
113,"MENACING, UNCLASSIFIED"
114,OBSTR BREATH/CIRCUL
115,RECKLESS ENDANGERMENT 2
117,RECKLESS ENDANGERMENT 1
122,"HOMICIDE, NEGLIGENT"
123,(null)
125,"HOMICIDE, NEGLIGENT"
129,"MANSLAUGHTER, UNCLASSIFIED - NO"
139,"MURDER, UNCLASSIFIED"
153,RAPE 3
155,RAPE 2
157,RAPE 1
164,SODOMY 3
166,SODOMY 2
168,SODOMY 1
170,"SEXUAL MISCONDUCT, INTERCOURSE"
173,FORCIBLE TOUCHING
174,"SEXUAL MISCONDUCT, DEVIATE"
175,"SEXUAL ABUSE 3, 2"
176,SEX CRIMES
177,SEXUAL ABUSE
179,AGGRAVATED SEXUAL ASBUSE
180,COURSE OF SEXUAL CONDUCT AGAIN
181,"IMPRISONMENT 2, UNLAWFUL"
183,"IMPRISONMENT 1, UNLAWFUL"
185,KIDNAPPING 2
186,LURING A CHILD
187,KIDNAPPING 1
191,CUSTODIAL INTERFERENCE 2
193,CUSTODIAL INTERFERENCE 1
195,COERCION 2
197,COERCION 1
198,CRIMINAL CONTEMPT 1
199,AGGRAVATED CRIMINAL CONTEMPT
201,"TRESPASS 4, CRIMINAL SUB 2"
203,"TRESPASS 3, CRIMINAL"
204,"TRESPASS 1, CRIMINAL"
205,"TRESPASS 2, CRIMINAL"
209,"BURGLARS TOOLS, UNCLASSIFIED"
223,"BURGLARY, RESIDENCE, NIGHT"
244,"BURGLARY, UNCLASSIFIED, UNKNOWN"
248,"RADIO DEVICES, UNLAWFUL POSSESS"
254,"MISCHIEF, CRIMINAL 4"
256,"MISCHIEF, CRIMINAL 4"
258,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
259,"CRIMINAL MISCHIEF, UNCLASSIFIED 4"
261,ARSON 1
263,"ARSON 2, 3, 4"
265,"MISCHIEF 1, CRIMINAL"
267,"MISCHIEF, CRIMINAL 3 & 2"
268,CRIMINAL MIS 2 & 3
269,"MISCHIEF, CRIMINAL, UNCL 2ND"
271,"TAMPERING 3, 2, CRIMINAL"
273,"TAMPERING 1, CRIMINAL"
275,POSTING ADVERTISEMENTS
277,RECKLESS ENDANGERMENT OF PROPE
283,"SOLICITATION 4, CRIMINAL"
285,"SOLICITATION 3, 2, CRIMINAL"
289,"CONSPIRACY 6, 5"
291,"CONSPIRACY 4, 3"
293,"CONSPIRACY 2, 1"
297,"FACILITATION 4, CRIMINAL"
299,"FACILITATION 3, 2, CRIMINAL"
301,"LARCENY, PETIT BY ACQUIRING LOS"
339,"LARCENY, PETIT FROM OPEN AREAS"
379,"ROBBERY, GAS STATION"
380,"ROBBERY, CAR JACKING"
397,"ROBBERY, OPEN AREA UNCLASSIFIED"
405,"LARCENY, GRAND BY THEFT OF CREDIT CARD"
409,"LARCENY, GRAND BY EXTORTION"
419,"LARCENY, GRAND FROM PERSON, UNCL"
438,"LARCENY, GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
